"","idx","name","selected","f[(1)](id, age)","f[(2)](age)","f[(3)](diseaseAge)","f[(4)](sex, age)","f[(5)](group)","noise","max(Rhat)","n","N","N_cases","flag","N_b05","N_b02","NA"
"769",769,"P16930","f[(1)](id, age), f[(2)](age)",0.673,0.092,0.014,0.008,0.002,0.211,1.002,189,21,11,0,3,10,0
"770",770,"P17050","f[(1)](id, age), f[(3)](diseaseAge), f[(2)](age)",0.56,0.04,0.059,0.004,0.009,0.327,1.022,153,17,9,0,1,4,0
"771",771,"P17066","f[(1)](id, age), f[(2)](age)",0.278,0.161,0.002,0.005,0.005,0.549,1.002,153,17,7,0,0,7,0
"772",772,"P17174","f[(1)](id, age), f[(2)](age)",0.353,0.299,0.009,0.003,0.024,0.312,1.002,189,21,11,0,5,11,0
"773",773,"P17301","f[(2)](age), f[(1)](id, age)",0.155,0.462,0.006,0.013,0.003,0.361,1.002,189,21,11,0,4,11,0
"774",774,"P17655","f[(1)](id, age)",0.677,0.032,0.003,0.003,0,0.284,1.002,189,21,11,0,3,11,0
"775",775,"P17813","f[(1)](id, age), f[(2)](age)",0.322,0.091,0.007,0.006,0.005,0.569,1.003,189,21,11,0,3,11,0
"776",776,"P17900","f[(1)](id, age), f[(2)](age), f[(3)](diseaseAge)",0.171,0.063,0.04,0.007,0.016,0.703,1.002,171,19,10,0,2,7,0
"777",777,"P17927","f[(2)](age), f[(1)](id, age)",0.349,0.349,0.003,0.008,0.009,0.281,1.003,189,21,11,0,3,11,0
"778",778,"P17936","f[(2)](age), f[(1)](id, age)",0.214,0.619,0.001,0.036,0.002,0.127,1.002,189,21,11,0,3,11,0
"779",779,"P17987","f[(2)](age), f[(1)](id, age)",0.053,0.098,0.011,0.002,0.013,0.822,1.004,171,19,10,0,4,9,0
"780",780,"P18065","f[(2)](age), f[(1)](id, age)",0.405,0.413,0.002,0.013,0.001,0.166,1.002,189,21,11,0,0,11,0
"781",781,"P18206","f[(2)](age), f[(1)](id, age)",0.062,0.121,0.01,0.02,0.002,0.785,1.002,189,21,11,0,4,11,0
