JobID	Elapsed	
47386983_158	5:01:16	1
47386983_159	3:34:05	1
47386983_160	3:41:32	1
47386983_161	2:19:56	1
47386983_162	1:45:11	1
47386983_163	3:42:41	1
47386983_164	6:14:48	1
47386983_165	6:36:06	1
47386983_166	2:24:11	1
47386983_167	3:41:18	1
47386983_168	5:24:05	1
47386983_169	6:57:14	1
47386983_170	4:51:03	1
47386983_171	4:14:51	1
47386983_172	1:53:49	1
47386983_173	2:52:05	1
47386983_174	4:25:48	1
47386983_175	6:07:35	1
47386983_176	4:25:10	1
47386983_177	3:37:02	1
47386983_178	4:52:37	1
47386983_179	4:49:50	1
47386983_180	4:21:46	1
47386983_181	2:28:10	1
47386983_182	4:43:03	1
47386983_183	6:46:02	1
47386983_184	8:20:29	1
47386983_185	4:19:08	1
47386983_186	4:20:52	1
47386983_187	3:34:18	1
47386983_188	6:30:33	1
47386983_189	5:15:03	1
47386983_190	2:33:50	1
47386983_191	3:40:33	1
47386983_192	4:17:49	1
47386983_193	6:19:02	1
47386983_194	5:21:16	1
47386983_195	4:23:02	1
47386983_196	5:15:29	1
47386983_197	1:48:37	1
47386983_198	1:53:08	1
47386983_199	6:16:48	1
		
		
MEAN	4:40:11	
STD	1:43:10	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
